qid,run,docid,relevance,query_raw,doc_title,doc_url
query-0,Q0,diy+wikihow-offline+04d16e4119b88b03cac6298d4b3c5c06,0,how to choose a good hairstyle for men,How to Become More Masculine when Feminine,https://www.wikihow.com/Become-More-Masculine-when-Feminine
query-0,Q0,diy+wikihow-offline+06bc5bb1070358eaf6b1ac3f575c2d3a,2,how to choose a good hairstyle for men,How to Style Short Hair (Men),https://www.wikihow.com/Style-Short-Hair-(Men)
query-0,Q0,diy+wikihow-offline+0b41a15840d7229dff05c1de8a8781d2,2,how to choose a good hairstyle for men,How to Be Well Groomed,https://www.wikihow.com/Be-Well-Groomed
query-0,Q0,diy+wikihow-offline+0c1ff5bd819715cb2feff1f7c32c6dc5,0,how to choose a good hairstyle for men,How to Get Good Looking Hair (Milk Conditioning),https://www.wikihow.com/Get-Good-Looking-Hair-(Milk-Conditioning)
query-0,Q0,diy+wikihow-offline+0cce73520d9bb83cd712dab09b5465ec,1,how to choose a good hairstyle for men,How to Be a Well Groomed Indian Man,https://www.wikihow.com/Be-a-Well-Groomed-Indian-Man
query-0,Q0,diy+wikihow-offline+0fe9aa5606b86c4d1c72294d58f52683,0,how to choose a good hairstyle for men,How to Eat Lobster,https://www.wikihow.com/Eat-Lobster
query-0,Q0,diy+wikihow-offline+11bd94bd147a20f28f5227ad7f581630,1,how to choose a good hairstyle for men,How to Do a Samurai Hairstyle,https://www.wikihow.com/Do-a-Samurai-Hairstyle
query-0,Q0,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c,2,how to choose a good hairstyle for men,How to Style Straight Male Hair,https://www.wikihow.com/Style-Straight-Male-Hair
query-0,Q0,diy+wikihow-offline+2361cca44c9d0d407396483ba841963f,1,how to choose a good hairstyle for men,How to Do Undercut Hair for Men,https://www.wikihow.com/Do-Undercut-Hair-for-Men
query-0,Q0,diy+wikihow-offline+2b093ab3bfa6a4f54a320f35e9c2c36b,1,how to choose a good hairstyle for men,How to Do a Blowout Hairstyle,https://www.wikihow.com/Do-a-Blowout-Hairstyle
query-0,Q0,diy+wikihow-offline+2cfb1e5102e25fdf0e7108a591722742,0,how to choose a good hairstyle for men,How to Dress Like a Guy,https://www.wikihow.com/Dress-Like-a-Guy
query-0,Q0,diy+wikihow-offline+34dd570fe54b34b2d9072db4b4e7516b,0,how to choose a good hairstyle for men,How to Shape a Beret,https://www.wikihow.com/Shape-a-Beret
query-0,Q0,diy+wikihow-offline+357510c864023fc3c6a66befa627639e,0,how to choose a good hairstyle for men,How to Change Siri's Voice on an iPhone,https://www.wikihow.com/Change-Siri%27s-Voice-on-an-iPhone
query-0,Q0,diy+wikihow-offline+372a640e645975efd12455b525cb7bca,0,how to choose a good hairstyle for men,How to Condition Your Hair with Beer and Chamomile,https://www.wikihow.com/Condition-Your-Hair-with-Beer-and-Chamomile
query-0,Q0,diy+wikihow-offline+399be0fec6995c4b1ab0d864e4c8289b,0,how to choose a good hairstyle for men,How to Try on Clothes,https://www.wikihow.com/Try-on-Clothes
