id,raw query,target query,domain,knowledge,reasoning
query-0,I would like risotto without mushrooms,risotto without mushrooms,cooking,y,n
query-1,I want to make a salty vegan cheesecake,salty vegan cheesecake,cooking,y,y
query-2,how do I make a fluffy chocolate cake by a famous cook,fluffy chocolate cake famous cook,cooking,y,y
query-3,how to make pumpkin soup without a blender,pumpkin soup without blender,cooking,y,n
query-4,can you give me Robuchon's tomato soup recipe, Robuchon tomato soup,cooking,n,y
query-5,lime lemonade without lemons,lime lemonade without lemons,cooking,y,n
query-6,help me make Uncle Roger's egg fried rice, uncle roger egg fried rice,cooking,n,y
query-7,pescatarian friendly meatballs,pescatarian friendly meatballs,cooking,n,y
query-8,please suggest a light greek dinner,light greek dinner,cooking,y,y
query-9,how to prepare a pre workout banana smooothie,pre workout banana smoothie,cooking,y,y
query-10,perfect soft cooked egg,soft cooked egg,cooking,,
query-11,how can I make squash and bean burritos,squash and bean burritos,cooking,,
query-12,pecan pie,pecan pie,cooking,,
query-13,I want strawberry ice cream,stawberry ice cream,cooking,,
query-14,how to fry ribeye steak,ribeye steak,cooking,,
query-15,I would like to make korean barbecue chicken,korean barbecue chicken,cooking,,
query-16,get recipes for icebox cake,icebox cake,cooking,,
query-17,I want a strawberry almond smoothie,strawberry almond smooothie,cooking,,
query-18,I want chocolate-pumpkin cheesecake bars,chocolate-pumpkin cheesecake bars,cooking,,
query-19,How to make chipotle pea salad,chipotle pea salad,cooking,,
query-20,How do I make beetroot feta burgers,beetroot feta burgers,cooking,,
query-21,help me out with shrimp scampi with pasta,shrimp scampi with pasta,cooking,,
query-22,how do I make a breaded chicken wing,breaded chicken wing,cooking,,
query-23,banana nut muffins,banana nut muffins,cooking,,
query-24,help me with chipotle baked eggs,chipotle baked eggs,cooking,,
query-25,how to make rye sourdough bread,sourdough bread,cooking,,
query-26,I want to learn to make lime cheese salad,lime cheese salad,cooking,,
query-27,delmonico's stake,delmonico steak,cooking,,
query-28,how do I do a california roll,california roll,cooking,,
query-29,how to make parmesan sweet potato wedges,parmesan sweet potato wedges,cooking,,
query-30,I want a recipe for loaded waffle fries,loaded waffle fries,cooking,,
query-31,veggie pizza with aubergine and goat cheese,veggie pizza with aubergine and goat cheese,cooking,,
query-32,show me a creamy mushroom stroganoff recipe,creamy mushroom stroganoff,cooking,,
query-33,greek salad with halloumi,greek salad with halloumi,cooking,,
query-34,I want a pot roast brisket, pot roast brisket,cooking,,
query-35,caramel sauce churros recipe,caramel sauce churros,cooking,,
query-36,how do I make tofu lettuce wraps with peanut sauce,tofu lettuce wraps with peanut sauce,cooking,,
query-37,I want beef and broccoli,beef and broccoli,cooking,,
query-38,how do I make a flourless carrot cake,flourless carrot cake,cooking,,
query-39,vegan lemon cheesecake,vegan lemon cheesecake,cooking,,
query-40,a lamb skwewers with pickled cabagge,lamb skwewers with pickled cabagge,cooking,,
