query-id,doc-id,raw-query,html_link,title,relevance
query-0,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52,how to choose a good hirstyle for men,https://www.wikihow.com/Do-a-Man-Bun,How to Do a Man Bun,
query-0,diy+wikihow-offline+72327fbf5127078477a631a8068becfe,how to choose a good hirstyle for men,https://www.wikihow.com/Create-a-Good-Hair-Care-Routine-(for-Men),How to Create a Good Hair Care Routine (for Men),
query-0,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f,how to choose a good hirstyle for men,https://www.wikihow.com/Get-Surfer-Hair-(for-Guys),How to Get Surfer Hair (for Guys),
query-0,diy+wikihow-offline+d2886abaad547c2835306a712737978f,how to choose a good hirstyle for men,https://www.wikihow.com/Grow-an-Afro-with-African-American-Hair,How to Grow an Afro with African American Hair,
query-0,diy+wikihow-offline+11bd94bd147a20f28f5227ad7f581630,how to choose a good hirstyle for men,https://www.wikihow.com/Do-a-Samurai-Hairstyle,How to Do a Samurai Hairstyle,
query-0,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b,how to choose a good hirstyle for men,https://www.wikihow.com/Comb-Your-Hair-(Men),How to Comb Your Hair (Men),
query-0,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c,how to choose a good hirstyle for men,https://www.wikihow.com/Style-Straight-Male-Hair,How to Style Straight Male Hair,
query-0,diy+wikihow-offline+f049f52600652149b499d8694f38e09d,how to choose a good hirstyle for men,https://www.wikihow.com/Choose-a-Haircut-for-Guys-with-Thinning-Hair,How to Choose a Haircut for Guys with Thinning Hair,
query-0,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5,how to choose a good hirstyle for men,https://www.wikihow.com/Style-Your-Hair-(Male),How to Style Your Hair (Male),
query-0,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc,how to choose a good hirstyle for men,https://www.wikihow.com/Grow-Long-Hair-As-a-Guy,How to Grow Long Hair As a Guy,
query-1,diy+wikihow-offline+2efce44fee96ab0de249783cebbfb9e2,how to learn a new language,https://www.wikihow.com/Become-a-Polyglot,How to Become a Polyglot,
query-1,diy+wikihow-offline+2e1e16b3c12a556c91b0a30e70d09414,how to learn a new language,https://www.wikihow.com/Celebrate-Te-Wiki-o-te-Reo-M%C4%81ori-(M%C4%81ori-Language-Week),How to Celebrate Te Wiki o te Reo Māori (Māori Language Week),
query-1,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7,how to learn a new language,https://www.wikihow.com/Learn-a-Language-Fluently-when-You-Live-in-a-New-Country,How to Learn a Language Fluently when You Live in a New Country,
query-1,diy+wikihow-offline+090da0649110e7249d12fab1fac2bf44,how to learn a new language,https://www.wikihow.com/Become-Skilled-at-Learning-Programming-Languages,How to Become Skilled at Learning Programming Languages,
query-1,diy+wikihow-offline+5be47a37215229fc1a5256385ca19692,how to learn a new language,https://www.wikihow.com/Speak-a-Language-With-the-Native-Accent,How to Speak a Language With the Native Accent,
query-1,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43,how to learn a new language,https://www.wikihow.com/Teach-Yourself-a-New-Language,How to Teach Yourself a New Language,
query-1,diy+wikihow-offline+d39849e6d3402ced8d0df7464ca3c693,how to learn a new language,https://www.wikihow.com/Learn-Japanese-on-Your-Own,How to Learn Japanese on Your Own,
query-1,diy+wikihow-offline+9580229d40b681bae16b58aa11eb0940,how to learn a new language,https://www.wikihow.com/Learn-Basic-Language-Vocabulary-with-Google-Translate,How to Learn Basic Language Vocabulary with Google Translate,
query-1,diy+wikihow-offline+d61ce2a9d7d1385d31503b5fbabbae9d,how to learn a new language,https://www.wikihow.com/Learn-Japanese-Using-Duolingo,How to Learn Japanese Using Duolingo,
query-1,diy+wikihow-offline+b53ce43ddce253e4b8e0fc59ff1fdd75,how to learn a new language,https://www.wikihow.com/Develop-Fluency-in-English,How to Develop Fluency in English,
query-2,diy+wikihow-offline+445fc30b30609341f699370edb5032b7,how to remove food stains from a carpet,https://www.wikihow.com/Clean-Carpet-Stains,How to Clean Carpet Stains,
query-2,diy+wikihow-offline+1973f58249a1c200d8848cdd0bed5a21,how to remove food stains from a carpet,https://www.wikihow.com/Remove-a-Coffee-Stain-from-Carpet,How to Remove a Coffee Stain from Carpet,
query-2,diy+wikihow-offline+719d126cb8ac593ed430d433910bc907,how to remove food stains from a carpet,https://www.wikihow.com/Clean-Slime-Out-of-Carpet,How to Clean Slime Out of Carpet,
query-2,diy+wikihow-offline+422e7dce8da82aa8227810126925be9a,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Jam-or-Jelly-Stains-from-Carpet,How to Remove Jam or Jelly Stains from Carpet,
query-2,diy+wikihow-offline+fdd9666f6253c8991e5944508a22ab84,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Soft-Drink-Spill-Marks-from-Carpeting,How to Remove Soft Drink Spill Marks from Carpeting,
query-2,diy+wikihow-offline+44c0ddbfdb0fc16fd7e5438e4d19bbfc,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Mud-from-Vehicle-Carpeting,How to Remove Mud from Vehicle Carpeting,
query-2,diy+wikihow-offline+411474664aa42823dc22ac6b2aa0bd03,how to remove food stains from a carpet,https://www.wikihow.com/Remove-a-Carpet-Stain-With-an-Iron,How to Remove a Carpet Stain With an Iron,
query-2,diy+wikihow-offline+284f5f21c97b19b2f64d372c1f44fb94,how to remove food stains from a carpet,https://www.wikihow.com/Clean-Pet-Vomit-from-Carpet,How to Clean Pet Vomit from Carpet,
query-2,diy+wikihow-offline+a39c28aa88da491b9891f68762258540,how to remove food stains from a carpet,https://www.wikihow.com/Clean-White-Carpet,How to Clean White Carpet,
query-2,diy+wikihow-offline+57e050027574b46df67b72a3c55918c6,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Pet-Stains-and-Odors-from-Carpet-with-a-Steam-Cleaner,How to Remove Pet Stains and Odors from Carpet with a Steam Cleaner,
query-3,diy+wikihow-offline+6bc6f6b4939c264915618ef7d7f2eade,how to wash a car with less water,https://www.wikihow.com/Wash-Your-Car-Without-Water,How to Wash Your Car Without Water,
query-3,diy+wikihow-offline+8d5fc7934e45706df3e534dc00323d75,how to wash a car with less water,https://www.wikihow.com/Wash-a-Car-by-Hand,How to Wash a Car by Hand,
query-3,diy+wikihow-offline+90577d3b257698020fb8f451b6654b52,how to wash a car with less water,https://www.wikihow.com/Wash-Your-Car-Using-Less-Water,How to Wash Your Car Using Less Water,
query-3,diy+wikihow-offline+5d071499dfe27c54a4c08cec5532897b,how to wash a car with less water,https://www.wikihow.com/Protect-Cars-from-Scratches,How to Protect Cars from Scratches,
query-3,diy+wikihow-offline+297a2acab83e5dfeab6836d9b64d087e,how to wash a car with less water,https://www.wikihow.com/Use-a-Rubbing-Compound,How to Use a Rubbing Compound,
query-3,diy+wikihow-offline+cdeb0ab980ab1d5d177fd7034073cb4c,how to wash a car with less water,https://www.wikihow.com/Clean-Cloudy-and-Hazy-Headlight-Lenses-on-a-VW-Using-a-Lens-Cleaning-Kit,How to Clean Cloudy and Hazy Headlight Lenses on a VW Using a Lens Cleaning Kit,
query-3,diy+wikihow-offline+a7db9920dbfeb659af3450cc86d438a5,how to wash a car with less water,https://www.wikihow.com/Open-a-Green-Car-Wash,How to Open a Green Car Wash,
query-3,diy+wikihow-offline+18ac77184508e9c551796ca668c5e8f6,how to wash a car with less water,https://www.wikihow.com/Detail-a-Car,How to Detail a Car,
query-3,diy+wikihow-offline+66faf9b3be6922e0ccb8153446acdadc,how to wash a car with less water,https://www.wikihow.com/Wash-Your-Car-with-a-Pressure-Washer,How to Wash Your Car with a Pressure Washer,
query-3,diy+wikihow-offline+cc0b9f468e2ec9acbdc8ec3298117b92,how to wash a car with less water,https://www.wikihow.com/Maintain-a-Ceramic-Coated-Car,How to Maintain a Ceramic Coated Car,
query-4,diy+wikihow-offline+ffff5824d37bf73a120d5a8a38de00ee,how do I decorate an office,https://www.wikihow.com/Decorate-a-Coworker%27s-Office,How to Decorate a Coworker's Office,
query-4,diy+wikihow-offline+6471526539c015dd16140362ca8f3322,how do I decorate an office,https://www.wikihow.com/Decorate-Your-Office,How to Decorate Your Office,
