query-id,raw query,taskgraph-id
query-0,how to spatchcock a turkey,cooking+recipe1m+011ea19ad4b863fe05f89037139de2f9
query-0,how to spatchcock a turkey,cooking+recipe1m+01f11222ddbdef0d7dc1d5682189fce7
query-0,how to spatchcock a turkey,cooking+recipe1m+040f2c2bb200ab81e26e1af4c57e63f4
query-0,how to spatchcock a turkey,cooking+recipe1m+09f9f404954794529222101c1f71c283
query-0,how to spatchcock a turkey,cooking+recipe1m+0b9658b5cac2e4bacbcee60e3a44a2c7
query-0,how to spatchcock a turkey,cooking+recipe1m+0c118e37afefd6deb9ba92bd544a304b
query-0,how to spatchcock a turkey,cooking+recipe1m+0d9ebabf96a3314e0eb6d9be1b24d367
query-0,how to spatchcock a turkey,cooking+recipe1m+1091df0640562e0b3d2aa3bc7e9f2de2
query-0,how to spatchcock a turkey,cooking+recipe1m+10c270764c58ee5d6f01d361d01bd62b
query-0,how to spatchcock a turkey,cooking+recipe1m+197ad788ba77edd3dbdd347e519974e1
query-0,how to spatchcock a turkey,cooking+recipe1m+19d826c967f2139d9f08534dc9078d47
query-0,how to spatchcock a turkey,cooking+recipe1m+1d85dfb6877616b46e58860e65432b7d
query-0,how to spatchcock a turkey,cooking+recipe1m+1e205a8682a00efa1baf76536ef65ff7
query-0,how to spatchcock a turkey,cooking+recipe1m+1e9607fa653335549370af9e02f4f68e
query-0,how to spatchcock a turkey,cooking+recipe1m+1fcb8001d42ecc506256b48ea8128972
query-0,how to spatchcock a turkey,cooking+recipe1m+2300bdc8ecd58673c3383bb0cab8b358
query-0,how to spatchcock a turkey,cooking+recipe1m+26b22eda0586c9132e8dc25a3366a5fd
query-0,how to spatchcock a turkey,cooking+recipe1m+2ee13734765fc5d9af84976f42b8a64f
query-0,how to spatchcock a turkey,cooking+recipe1m+37dc2d8579f0b7dcb6608afe3741199d
query-0,how to spatchcock a turkey,cooking+recipe1m+39fdf507ac96e110dbd54e1dfcacbb4a
query-0,how to spatchcock a turkey,cooking+recipe1m+3e287652d19fb0cf41bbfcbbf74cf97c
query-0,how to spatchcock a turkey,cooking+recipe1m+3e6e20ac5dd03913760c3563a226091c
query-0,how to spatchcock a turkey,cooking+recipe1m+3ff0a8d1c0de3794409c437b23acc0c7
