query-id,raw query,taskgraph-id
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+0789d31a880419ff78a4496e44bf8629
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+11bd94bd147a20f28f5227ad7f581630
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+585c1fd05ffb86ede222ab680253c988
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+5a5e12c6e4891ec532c82ef504eb7022
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+665eb50d12a729c85829cd4573d431ae
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+934f4575329925bc24cbe96a2cbf0ef9
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+947e1b36ee06073ad30ae777a430711f
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+afa5dd98f724b8fde90ba9cf3485654a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+c9f0e9462e6909fcf81823aa76aa203a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+dc8dd5f75c0e2939769bd2defbdf0570
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b
query-1,how to learn a new language,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43
query-1,how to learn a new language,diy+wikihow-offline+0a04343b78b32dbb34ffe64e4e2eac52
query-1,how to learn a new language,diy+wikihow-offline+0b540016a91a917016706537e326dc31
query-1,how to learn a new language,diy+wikihow-offline+13e49e33dd5548cb13d9c1048a0fb062
query-1,how to learn a new language,diy+wikihow-offline+2efce44fee96ab0de249783cebbfb9e2
query-1,how to learn a new language,diy+wikihow-offline+5c806b1d16a8a2a9d73c9c7491f9165a
query-1,how to learn a new language,diy+wikihow-offline+72805a4a1465c7dea9080d8ca4782f47
query-1,how to learn a new language,diy+wikihow-offline+7aa8d9ee070e10dc1757caa3bdf29c7e
query-1,how to learn a new language,diy+wikihow-offline+7d0a4d32c6d04a6b4deeeb1b5bea9ba4
query-1,how to learn a new language,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7
query-1,how to learn a new language,diy+wikihow-offline+9f5da6bea0d0bf3bd06d497e925cd380
query-1,how to learn a new language,diy+wikihow-offline+a2cb183ef19997a3ee4dc948793b1c1f
query-1,how to learn a new language,diy+wikihow-offline+aee4498c70c1bf5e34eddeae180fdb9e
query-1,how to learn a new language,diy+wikihow-offline+b42d9245aeae4c8d96134d9e235d5920
query-1,how to learn a new language,diy+wikihow-offline+c9104fc326c825509f4e72f7f4bc6269
query-10,how to style curly hair,diy+wikihow-offline+0e117d5dca5aa02c3359284e60f2f194
query-10,how to style curly hair,diy+wikihow-offline+16c7495a5d406e16deacb9edd57ab179
query-10,how to style curly hair,diy+wikihow-offline+27544915d22318878f14fff926fa8549
query-10,how to style curly hair,diy+wikihow-offline+2b21da4c86b18094cf717c5ed16d28f7
query-10,how to style curly hair,diy+wikihow-offline+3e9a093fb2840408e6271e85cfb7e7f3
query-10,how to style curly hair,diy+wikihow-offline+534417012a7037f48d4a0db5edbdac8b
query-10,how to style curly hair,diy+wikihow-offline+6d309b3343997943a34af5f9b3f78d05
query-10,how to style curly hair,diy+wikihow-offline+8b6700e32825a90b11b504b835378c22
query-10,how to style curly hair,diy+wikihow-offline+8cbd8a31bc8fb4811852c3e6fbc223f3
query-10,how to style curly hair,diy+wikihow-offline+ad76beea44339a4c9608e6cc8f0b0023
query-10,how to style curly hair,diy+wikihow-offline+c1ed2d56e686f5be6eec3a02b136e93a
query-10,how to style curly hair,diy+wikihow-offline+d941446c1d35849275106db91393961b
query-10,how to style curly hair,diy+wikihow-offline+dfb590f5e9758228c9c30dd596c970d5
query-10,how to style curly hair,diy+wikihow-offline+f003b42ee8b6a11c81e535d5de9dcc88
query-10,how to style curly hair,diy+wikihow-offline+f11df9962a4cfe5038fdf00975978189
query-11,how to write a biography book,diy+wikihow-offline+0d60dc66b7f8661bfa58ffbf70e6e6dc
query-11,how to write a biography book,diy+wikihow-offline+23d9a87dc0d73530a9960e76cdf34742
query-11,how to write a biography book,diy+wikihow-offline+70f876fef3e383d461eb763f3cb0e405
query-11,how to write a biography book,diy+wikihow-offline+79dedbad3d870f830374bb4aef893b19
query-11,how to write a biography book,diy+wikihow-offline+9bfd78746f0a60d5fe0dcced6b1ef9c5
query-11,how to write a biography book,diy+wikihow-offline+acf3b1355bed183849b7ca3aec2f20f1
query-11,how to write a biography book,diy+wikihow-offline+b24ebe09ad152acffe30941012c45dba
query-11,how to write a biography book,diy+wikihow-offline+c4db56e5fa32cad3956f5e4aba6941f2
query-11,how to write a biography book,diy+wikihow-offline+d135dcff4bb16830a57875ade5fabe8f
query-11,how to write a biography book,diy+wikihow-offline+dbf926fb56659415deb722d70264c5b1
query-11,how to write a biography book,diy+wikihow-offline+e15b0b120535a432552e2c20ce38bcd4
query-11,how to write a biography book,diy+wikihow-offline+e9682aa4b3dae036ba03b90cc517a565
query-11,how to write a biography book,diy+wikihow-offline+f76d5806adc688e0654e94165ce3a218
query-11,how to write a biography book,diy+wikihow-offline+fda2d1cf40800c5f35e3512bd8cb74a7
query-12,how to grow apples,diy+wikihow-offline+010fa4606fe4f7c44cd12a937ac3128f
query-12,how to grow apples,diy+wikihow-offline+03b54cbe8a5372bf75333b2776b82241
query-12,how to grow apples,diy+wikihow-offline+15ea733ae2c90b6a0451e065a02f1827
query-12,how to grow apples,diy+wikihow-offline+20c412097abb9c0e6e6ba81625e92291
query-12,how to grow apples,diy+wikihow-offline+308ff8d69d10e35a6046cbb4b800502e
query-12,how to grow apples,diy+wikihow-offline+4233f3e85e8e38bc6b8687ca0fafc7e8
query-12,how to grow apples,diy+wikihow-offline+72793061ef42b2f74f1f497c0e74908a
query-12,how to grow apples,diy+wikihow-offline+77d07a1705535959abdcb01f98d33991
