query-id,doc-id,raw-query,html_link,title,relevance
query-0,cooking+recipe1m+c5249af2fc1f2ad713b1489fe1288fea,how to spatchcock a turkey,http://www.food.com/recipe/birds-birds-birds-139688,"Birds, Birds, Birds",
query-0,cooking+recipe1m+9c9b0ac601e1951214288bf7be185461,how to spatchcock a turkey,http://www.food.com/recipe/spicy-roast-spatchcocks-341031,Spicy Roast Spatchcocks,
query-0,cooking+recipe1m+aa169d78089d89274ec8510bb5a62f3d,how to spatchcock a turkey,http://www.food.com/recipe/braised-spatchcocks-with-spinach-336566,Braised Spatchcocks With Spinach,
query-0,cooking+recipe1m+4967e8561c0762b1950299349a2bcf90,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocks-with-a-herb-butter-and-sage-and-bacon-sauce-271632,Spatchcocks With a Herb Butter and Sage and Bacon Sauce,
query-0,cooking+recipe1m+748a7547c9145be5c42a2030ccb82c1f,how to spatchcock a turkey,http://www.foodnetwork.com/recipes/nigella-lawson/spatchcocked-birds-recipe.html,Spatchcocked Birds,
query-0,cooking+recipe1m+e2f4049e0dde8f8462d4e12e83fe9349,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocked-turkey-aka-butterflied-469154,Spatchcocked Turkey (Aka Butterflied),
query-0,cooking+recipe1m+0c118e37afefd6deb9ba92bd544a304b,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocked-chicken-with-walnut-dill-pesto-254121,Spatchcocked Chicken With Walnut-Dill Pesto,
query-0,cooking+recipe1m+1e205a8682a00efa1baf76536ef65ff7,how to spatchcock a turkey,http://www.kraftrecipes.com/recipes/grilled-spatchcock-turkey-cranberry-barbecue-sauce-120326.aspx,Grilled Spatchcock Turkey with Cranberry-Barbecue Sauce,
query-0,cooking+recipe1m+9ad31bc1e9ec3ef1f305e21d22ab7063,how to spatchcock a turkey,http://tastykitchen.com/recipes/main-courses/spatchcock-chicken/,Spatchcock Chicken,
query-0,cooking+recipe1m+8da474536359a5bd2b049e9f610b31a1,how to spatchcock a turkey,http://tastykitchen.com/recipes/main-courses/spatchcocked-chicken-with-jerk-seasoning-paste/,Spatchcocked Chicken with Jerk Seasoning Paste,
query-1,cooking+recipe1m+296549d0119847af73c76381e5e53be8,I want an easy to make dessert for christmas,http://www.food.com/recipe/raspberry-christmas-dessert-106861,Raspberry Christmas Dessert,
query-1,cooking+recipe1m+c294afef7cec9f5174c5a5f6cec502a7,I want an easy to make dessert for christmas,http://cookeatshare.com/recipes/banana-split-supreme-jello-dessert-7959,Banana Split Supreme Jello Dessert Recipe,
query-1,cooking+recipe1m+fa0b59557571f60d7d121e247748b3fb,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-dessert-148718,Christmas Dessert,
query-1,cooking+recipe1m+b30f16322bb969bd7c6f55ff5f66ae63,I want an easy to make dessert for christmas,http://www.food.com/recipe/christmas-strawberries-344254,Christmas Strawberries,
query-1,cooking+recipe1m+24997e4fb24dead362afd35b0185f95a,I want an easy to make dessert for christmas,http://cookeatshare.com/recipes/trifle-an-english-christmas-dessert-16604,Trifle (An English Christmas Dessert) Recipe,
query-1,cooking+recipe1m+2bfde642c9f6c321963a505c3c8be6e4,I want an easy to make dessert for christmas,http://www.kraftrecipes.com/recipes/chocolate-angel-dessert-85435.aspx,Chocolate Angel Dessert,
query-1,cooking+recipe1m+b15e87bbfbc307af466f5a6ddcdbec75,I want an easy to make dessert for christmas,http://tastykitchen.com/recipes/drinks/festive-christmas-martinis/,Festive Christmas Martinis,
query-1,cooking+recipe1m+1bd24cf460be8a5e268f9d560d44837c,I want an easy to make dessert for christmas,http://www.kraftrecipes.com/recipes/christmas-flower-dessert-111431.aspx,Christmas Flower Dessert,
query-1,cooking+recipe1m+ee8ea22c4a75dc4406ea9e5ab70c5dd4,I want an easy to make dessert for christmas,http://www.kraftrecipes.com/recipes/easy-berry-layered-dessert-189167.aspx,Easy Berry Layered Dessert,
query-1,cooking+recipe1m+35b9e6c5f99103b436723cf6313ec473,I want an easy to make dessert for christmas,http://www.food.com/recipe/easy-strawberry-walnut-dessert-205128,Easy Strawberry Walnut Dessert,
query-2,cooking+recipe1m+b0b2ec9c04cdbadcf8f86410d2b34b35,any recommendations for a gluten free appetizer,http://www.food.com/recipe/potted-salmon-gluten-free-appetizer-435796,Potted Salmon (Gluten-Free) Appetizer.,
query-2,cooking+recipe1m+f80f2fdcd5d3a661f310b9ef1b35bc69,any recommendations for a gluten free appetizer,http://www.chowhound.com/recipes/duck-burger-gluten-free-dairy-free-26959,Duck Burger - Gluten Free and Dairy Free Recipe thewholegang,
query-2,cooking+recipe1m+00ece6a7645f66256d9ff4fba2123f53,any recommendations for a gluten free appetizer,https://cookpad.com/us/recipes/336553-vickys-mulligatawny-vegetable-soup-gluten-dairy-egg-soy-free,"Vickys Mulligatawny Vegetable Soup, Gluten, Dairy, Egg & Soy-Free",
query-2,cooking+recipe1m+270c091f2a9e4274c89f13a4733e372d,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-shredded-beef-sandwiches-crock-pot-472269,Gluten Free Shredded Beef Sandwiches (Crock Pot),
query-2,cooking+recipe1m+56c4c9206e370d725bcf2cdb4f81907e,any recommendations for a gluten free appetizer,http://www.food.com/recipe/amazing-gluten-free-barbecued-meatloaf-minis-280943,Amazing Gluten Free Barbecued Meatloaf Minis,
query-2,cooking+recipe1m+73d52a32dc19fdef848d4446549a7793,any recommendations for a gluten free appetizer,http://www.food.com/recipe/brandon-s-gluten-free-fish-batter-523646,Brandon's Gluten Free Fish Batter,
query-2,cooking+recipe1m+fba0681fd65928493d98666740985580,any recommendations for a gluten free appetizer,https://cookpad.com/us/recipes/357398-gluten-free-chocolate-chip-cookies,Gluten free chocolate chip cookies,
query-2,cooking+recipe1m+c93f898f2aaa8109694fa22ad214e060,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-or-not-apple-crisp-502006,Gluten Free or Not Apple Crisp,
query-2,cooking+recipe1m+167849cb5ae6af7685ff71bd3b34754c,any recommendations for a gluten free appetizer,http://tastykitchen.com/recipes/special-dietary-needs/gluten-free/chocolate-cupcakes-with-chocolate-cream-cheese-frosting-2/,Chocolate Cupcakes with Chocolate Cream Cheese Frosting,
query-2,cooking+recipe1m+4b36e3f412a824d057f56cf016ae26ae,any recommendations for a gluten free appetizer,http://www.food.com/recipe/gluten-free-chocolate-chip-nut-muffins-446448,Gluten Free Chocolate Chip Nut Muffins,
query-3,cooking+recipe1m+6ecffd411ba745b643b775d5da64c27c,how to make a green goddess salad,http://www.kraftrecipes.com/recipes/frisee-watercress-salad-prosciutto-figs-green-goddess-dressing-178621.aspx,"Frisee & Watercress Salad with Prosciutto, Figs & Green Goddess Dressing",
query-3,cooking+recipe1m+7718f703151ecaef81919717d437422c,how to make a green goddess salad,http://www.food.com/recipe/arugula-macadamia-salad-with-vegan-green-goddess-dressing-348554,Arugula Macadamia Salad With Vegan Green Goddess Dressing,
query-3,cooking+recipe1m+06bd1c411ac21aa4e0f789d99adc6c2d,how to make a green goddess salad,http://www.food.com/recipe/green-goddess-chicken-legs-512434,Green Goddess Chicken Legs,
query-3,cooking+recipe1m+ba45d8cbe0750e72c4fccd95a2267b82,how to make a green goddess salad,http://www.food.com/recipe/green-goddess-crab-salad-231614,Green Goddess Crab Salad,
query-3,cooking+recipe1m+464b72a61d64ad9326f703da680533bd,how to make a green goddess salad,http://tastykitchen.com/recipes/salads/eviee28099s-pasta-polynesian-salad/,Evies Pasta Polynesian Salad,
query-3,cooking+recipe1m+3f8da660254799bba81b3b0bd0d32a33,how to make a green goddess salad,http://www.kraftrecipes.com/recipes/green-goddess-pasta-salad-180531.aspx,Green Goddess Pasta Salad,
query-3,cooking+recipe1m+3a26abf9ccde871fac54f3750e64e948,how to make a green goddess salad,http://www.food.com/recipe/layered-taco-salad-245179,Layered Taco Salad,
query-3,cooking+recipe1m+ce2a6336caebaef113e8ec7a7b5a8c78,how to make a green goddess salad,http://www.foodnetwork.com/recipes/patrick-and-gina-neely/gs-goddess-salad-recipe.html,G's Goddess Salad,
query-3,cooking+recipe1m+b28ff0a44ed0350f9d607387361ee040,how to make a green goddess salad,http://www.food.com/recipe/green-goddess-tuna-salad-216607,Green Goddess Tuna Salad,
query-3,cooking+recipe1m+34554cf3e8f4cf66151709d6f4d6645b,how to make a green goddess salad,http://www.food.com/recipe/chickpea-cheese-salad-187949,Chickpea -- Cheese Salad,
query-4,cooking+recipe1m+20d6f746ff8af1a750f5a4b0d3f37017,how to make a classic english trifle,http://www.food.com/recipe/toffee-trifle-56124,Toffee Trifle,
query-4,cooking+recipe1m+5c3787711509ae7f088206121f9945d7,how to make a classic english trifle,http://www.food.com/recipe/chocolate-trifle-343489,Chocolate Trifle,
query-4,cooking+recipe1m+aa10b3693a69936291aa72b6aa67c335,how to make a classic english trifle,http://www.food.com/recipe/chocolate-banana-trifle-111760,Chocolate-Banana Trifle,
query-4,cooking+recipe1m+cd9aeff358641eb4e77a20ed102a2802,how to make a classic english trifle,http://www.food.com/recipe/chocolate-twinkie-trifle-378808,Chocolate Twinkie Trifle,
query-4,cooking+recipe1m+d0a763788e19383d9e4e998c21efaa77,how to make a classic english trifle,http://www.food.com/recipe/toffee-brownie-trifle-394319,Toffee Brownie Trifle,
query-4,cooking+recipe1m+74709c71025e3a93fbd650a4ada50fb0,how to make a classic english trifle,http://www.food.com/recipe/caramel-chocolate-trifle-279253,Caramel Chocolate Trifle,
query-4,cooking+recipe1m+ee1b46fa501c86c988b4d21d7bf66fe7,how to make a classic english trifle,http://www.cookstr.com/recipes/english-trifle,English Trifle,
query-4,cooking+recipe1m+7f52a15a7fb3056fd312f25c75e0158e,how to make a classic english trifle,http://www.food.com/recipe/toffee-apple-and-honey-trifle-73080,Toffee Apple and Honey Trifle,
query-4,cooking+recipe1m+3b9fcc57c560e8c2351d099f84c81133,how to make a classic english trifle,http://www.food.com/recipe/pampered-chef-double-chocolate-mocha-trifle-74963,Pampered Chef Double Chocolate Mocha Trifle,
query-4,cooking+recipe1m+9c6114e5c12524b6134a07ccb9119e2f,how to make a classic english trifle,http://www.food.com/recipe/chocolate-toffee-trifle-125084,Chocolate Toffee Trifle,
query-5,cooking+recipe1m+f8c80d3a4922c0dac640541e3cca5069,I want a scary pumpkin pie,http://www.kraftrecipes.com/recipes/scary-skillet-shepherds-pie-138709.aspx,Scary Skillet Shepherd's Pie,
query-5,cooking+recipe1m+8eb9f5895ef6d58c15b8e9a94440a602,I want a scary pumpkin pie,http://www.kraftrecipes.com/recipes/scary-skillet-shepherds-pie-114028.aspx,Scary Skillet Shepherd's Pie,
query-5,cooking+recipe1m+ece32ba9331ce5bae1022525ab90d9a9,I want a scary pumpkin pie,http://www.kraftrecipes.com/recipes/scary-skillet-shepherds-pie-114051.aspx,Scary Skillet Shepherd's Pie,
