0,1,2
query-19,how to wash a stainless steel pan,marqo+t5
query-20,cut tempered glass,marqo+t5
query-21,put on a bike chain,marqo+t5
query-22,fix a water heater,marqo+t5
query-23,build a simple kite,marqo+t5
query-24,learn how to juggle three balls,marqo+t5
query-25,chop an onion like a pro,marqo+t5
query-28,fix a stuck zipper,marqo+t5
query-30,create an outdoor fireplace,marqo+t5
query-33,make a gravel garden path,marqo+t5
query-37,how to run  marathon,marqo+t5
query-40,how to plan a christmas party,marqo+t5
query-41,how to solve a rubik's cube,marqo+t5
query-42,learn a chess opening,marqo+t5
query-46,how to open a champagne bottle,marqo+t5
query-49,how to make a bubble bath,marqo+t5
query-5,help me paint an interior wall,marqo+t5
query-52,fix a leaking shower,marqo+t5
query-54,hang a shelf,marqo+t5
query-55,sell my paintings on the internet,marqo+t5
query-56,how to make a keychain,marqo+t5
query-60,how to make napkin designs,marqo+t5
query-61,how to make a coaster,marqo+t5
query-63,how to set up a tent,marqo+t5
query-65,how to learn to ice skate,marqo+t5
query-68,how to organize a kitchen,marqo+t5
query-7,how to make homemade toothpaste,marqo+t5
query-72,how to clean the windows,marqo+t5
query-73,how to pick a lock with paper clips,marqo+t5
query-77,how to wash a newborn baby,marqo+t5
query-8,how do I clean the fridge,marqo+t5
query-82,how to build a snowman,marqo+t5
query-85,how to find my stolen phone,marqo+t5
query-88,how to catch a fly,marqo+t5
query-89,how to repair a chipped tile,marqo+t5
query-94,how to sail a boat,marqo+t5
query-99,how to grow grapes,marqo+t5
query-10,how to style curly hair,bm25+rm3
query-12,how to grow apples,bm25+rm3
query-13,how to grow strawberries,bm25+rm3
query-14,how to grow cherry tomatoes,bm25+rm3
query-15,how to grow blueberries,bm25+rm3
query-17,how to wash a cutting board,bm25+rm3
query-18,help me learn how to knit clothes,bm25+rm3
query-2,how to remove food stains from a carpet,bm25+rm3
query-21,put on a bike chain,bm25+rm3
query-22,fix a water heater,bm25+rm3
query-23,build a simple kite,bm25+rm3
query-24,learn how to juggle three balls,bm25+rm3
query-26,how to hand whistle,bm25+rm3
query-27,how to change a car tire,bm25+rm3
query-28,fix a stuck zipper,bm25+rm3
query-3,how to wash a car with less water,bm25+rm3
query-30,create an outdoor fireplace,bm25+rm3
query-32,paint nails with patterns,bm25+rm3
query-35,how to teach a cat to do tricks,bm25+rm3
query-36,how to build a hamster cage,bm25+rm3
query-38,how to gain musle,bm25+rm3
query-4,how do I decorate an office,bm25+rm3
query-41,how to solve a rubik's cube,bm25+rm3
query-42,learn a chess opening,bm25+rm3
query-43,how to replace a window,bm25+rm3
query-47,how to install a sprinkler system,bm25+rm3
query-5,help me paint an interior wall,bm25+rm3
query-50,how to remove a permanent marker from a whiteboard,bm25+rm3
query-52,fix a leaking shower,bm25+rm3
query-53,how to put up wallpaper,bm25+rm3
query-54,hang a shelf,bm25+rm3
query-56,how to make a keychain,bm25+rm3
query-57,how to make a bath bomb,bm25+rm3
query-58,how to make a candles that smell well,bm25+rm3
query-59,how to build a toy for a pet,bm25+rm3
query-6,how do you remove crown mold from a wall,bm25+rm3
query-61,how to make a coaster,bm25+rm3
query-62,how to draw a birthday card,bm25+rm3
query-63,how to set up a tent,bm25+rm3
query-65,how to learn to ice skate,bm25+rm3
query-67,how to make my own fridge magnets,bm25+rm3
query-68,how to organize a kitchen,bm25+rm3
query-71,help me clean the oven,bm25+rm3
query-72,how to clean the windows,bm25+rm3
query-73,how to pick a lock with paper clips,bm25+rm3
query-74,how to cut my own hair,bm25+rm3
query-76,how to write a resume for a job,bm25+rm3
query-81,how to paint on ceramic,bm25+rm3
query-83,how to make a paper fortune teller,bm25+rm3
query-84,how to fold a paper airplane,bm25+rm3
query-86,how to make finger puppets,bm25+rm3
query-90,how to make an asian lantern,bm25+rm3
query-95,how to replace a door,bm25+rm3
query-98,how to grow lemons,bm25+rm3
query-19,how to wash a stainless steel pan,marqo
query-20,cut tempered glass,marqo
query-21,put on a bike chain,marqo
query-22,fix a water heater,marqo
query-23,build a simple kite,marqo
query-24,learn how to juggle three balls,marqo
query-25,chop an onion like a pro,marqo
query-28,fix a stuck zipper,marqo
query-30,create an outdoor fireplace,marqo
query-33,make a gravel garden path,marqo
query-37,how to run  marathon,marqo
query-40,how to plan a christmas party,marqo
query-41,how to solve a rubik's cube,marqo
query-42,learn a chess opening,marqo
query-46,how to open a champagne bottle,marqo
query-49,how to make a bubble bath,marqo
query-5,help me paint an interior wall,marqo
query-52,fix a leaking shower,marqo
query-54,hang a shelf,marqo
query-55,sell my paintings on the internet,marqo
query-56,how to make a keychain,marqo
query-60,how to make napkin designs,marqo
query-61,how to make a coaster,marqo
query-63,how to set up a tent,marqo
query-65,how to learn to ice skate,marqo
query-68,how to organize a kitchen,marqo
query-7,how to make homemade toothpaste,marqo
query-72,how to clean the windows,marqo
query-73,how to pick a lock with paper clips,marqo
query-77,how to wash a newborn baby,marqo
query-8,how do I clean the fridge,marqo
query-82,how to build a snowman,marqo
query-85,how to find my stolen phone,marqo
query-88,how to catch a fly,marqo
query-89,how to repair a chipped tile,marqo
query-94,how to sail a boat,marqo
query-99,how to grow grapes,marqo
query-10,how to style curly hair,bm25+rm3+t5
query-12,how to grow apples,bm25+rm3+t5
query-13,how to grow strawberries,bm25+rm3+t5
query-14,how to grow cherry tomatoes,bm25+rm3+t5
query-15,how to grow blueberries,bm25+rm3+t5
query-17,how to wash a cutting board,bm25+rm3+t5
query-18,help me learn how to knit clothes,bm25+rm3+t5
query-2,how to remove food stains from a carpet,bm25+rm3+t5
query-21,put on a bike chain,bm25+rm3+t5
query-22,fix a water heater,bm25+rm3+t5
query-23,build a simple kite,bm25+rm3+t5
query-24,learn how to juggle three balls,bm25+rm3+t5
query-26,how to hand whistle,bm25+rm3+t5
query-27,how to change a car tire,bm25+rm3+t5
query-28,fix a stuck zipper,bm25+rm3+t5
query-3,how to wash a car with less water,bm25+rm3+t5
query-30,create an outdoor fireplace,bm25+rm3+t5
query-32,paint nails with patterns,bm25+rm3+t5
query-35,how to teach a cat to do tricks,bm25+rm3+t5
query-36,how to build a hamster cage,bm25+rm3+t5
query-38,how to gain musle,bm25+rm3+t5
query-4,how do I decorate an office,bm25+rm3+t5
query-41,how to solve a rubik's cube,bm25+rm3+t5
query-42,learn a chess opening,bm25+rm3+t5
query-43,how to replace a window,bm25+rm3+t5
query-47,how to install a sprinkler system,bm25+rm3+t5
query-5,help me paint an interior wall,bm25+rm3+t5
query-50,how to remove a permanent marker from a whiteboard,bm25+rm3+t5
query-52,fix a leaking shower,bm25+rm3+t5
query-53,how to put up wallpaper,bm25+rm3+t5
query-54,hang a shelf,bm25+rm3+t5
query-56,how to make a keychain,bm25+rm3+t5
query-57,how to make a bath bomb,bm25+rm3+t5
query-58,how to make a candles that smell well,bm25+rm3+t5
query-59,how to build a toy for a pet,bm25+rm3+t5
query-6,how do you remove crown mold from a wall,bm25+rm3+t5
query-61,how to make a coaster,bm25+rm3+t5
query-62,how to draw a birthday card,bm25+rm3+t5
query-63,how to set up a tent,bm25+rm3+t5
query-65,how to learn to ice skate,bm25+rm3+t5
