query-id,doc-id,raw-query,html_link,title,relevance
query-0,diy+wikihow-offline+72327fbf5127078477a631a8068becfe,how to choose a good hirstyle for men,https://www.wikihow.com/Create-a-Good-Hair-Care-Routine-(for-Men),How to Create a Good Hair Care Routine (for Men),
query-0,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5,how to choose a good hirstyle for men,https://www.wikihow.com/Style-Your-Hair-(Male),How to Style Your Hair (Male),
query-0,diy+wikihow-offline+afa5dd98f724b8fde90ba9cf3485654a,how to choose a good hirstyle for men,https://www.wikihow.com/Choose-a-Hairstyle,How to Choose a Hairstyle,
query-0,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c,how to choose a good hirstyle for men,https://www.wikihow.com/Style-Straight-Male-Hair,How to Style Straight Male Hair,
query-0,diy+wikihow-offline+f049f52600652149b499d8694f38e09d,how to choose a good hirstyle for men,https://www.wikihow.com/Choose-a-Haircut-for-Guys-with-Thinning-Hair,How to Choose a Haircut for Guys with Thinning Hair,
query-0,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f,how to choose a good hirstyle for men,https://www.wikihow.com/Get-Surfer-Hair-(for-Guys),How to Get Surfer Hair (for Guys),
query-0,diy+wikihow-offline+8bafeb1e6efa638fbdae844b5bfdc448,how to choose a good hirstyle for men,https://www.wikihow.com/Look-Younger-(for-Men),How to Look Younger (for Men),
query-0,diy+wikihow-offline+2361cca44c9d0d407396483ba841963f,how to choose a good hirstyle for men,https://www.wikihow.com/Do-Undercut-Hair-for-Men,How to Do Undercut Hair for Men,
query-0,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc,how to choose a good hirstyle for men,https://www.wikihow.com/Grow-Long-Hair-As-a-Guy,How to Grow Long Hair As a Guy,
query-0,diy+wikihow-offline+0cce73520d9bb83cd712dab09b5465ec,how to choose a good hirstyle for men,https://www.wikihow.com/Be-a-Well-Groomed-Indian-Man,How to Be a Well Groomed Indian Man,
query-1,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43,how to learn a new language,https://www.wikihow.com/Teach-Yourself-a-New-Language,How to Teach Yourself a New Language,
query-1,diy+wikihow-offline+0b540016a91a917016706537e326dc31,how to learn a new language,https://www.wikihow.com/Learn-a-New-Language-Fast,How to Learn a New Language Fast,
query-1,diy+wikihow-offline+090da0649110e7249d12fab1fac2bf44,how to learn a new language,https://www.wikihow.com/Become-Skilled-at-Learning-Programming-Languages,How to Become Skilled at Learning Programming Languages,
query-1,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7,how to learn a new language,https://www.wikihow.com/Learn-a-Language-Fluently-when-You-Live-in-a-New-Country,How to Learn a Language Fluently when You Live in a New Country,
query-1,diy+wikihow-offline+04fa4bc82e822b12acb8682f542e5060,how to learn a new language,https://www.wikihow.com/Learn-Several-Languages-at-a-Time,How to Learn Several Languages at a Time,
query-1,diy+wikihow-offline+9580229d40b681bae16b58aa11eb0940,how to learn a new language,https://www.wikihow.com/Learn-Basic-Language-Vocabulary-with-Google-Translate,How to Learn Basic Language Vocabulary with Google Translate,
query-1,diy+wikihow-offline+dfd0e33c6d61df25f50c13e0649d9d4d,how to learn a new language,https://www.wikihow.com/Learn-a-Foreign-Language-with-Songs,How to Learn a Foreign Language with Songs,
query-1,diy+wikihow-offline+9001563355325148cf47677a064815f9,how to learn a new language,https://www.wikihow.com/Study-a-Foreign-Language-in-School,How to Study a Foreign Language in School,
query-1,diy+wikihow-offline+43675132dd20015620575452c191cb53,how to learn a new language,https://www.wikihow.com/Learn-a-Language-Inexpensively,How to Learn a Language Inexpensively,
query-1,diy+wikihow-offline+029dbc592078c641ca7779cf587d4665,how to learn a new language,https://www.wikihow.com/Teach-Yourself-a-Language-Using-Flashcards,How to Teach Yourself a Language Using Flashcards,
query-2,diy+wikihow-offline+f91da1bc17304fdc63b4d380ce1d9e25,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Oil-Stains-from-Carpeting,How to Remove Oil Stains from Carpeting,
query-2,diy+wikihow-offline+849beafc0017874128d1eba109bd5801,how to remove food stains from a carpet,https://www.wikihow.com/Remove-Butter-or-Grease-Stains-from-a-Carpet,How to Remove Butter or Grease Stains from a Carpet,
