query-id,raw query,taskgraph-id
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+04d16e4119b88b03cac6298d4b3c5c06
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+06bc5bb1070358eaf6b1ac3f575c2d3a
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+0b41a15840d7229dff05c1de8a8781d2
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+0c1ff5bd819715cb2feff1f7c32c6dc5
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+0cce73520d9bb83cd712dab09b5465ec
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+0fe9aa5606b86c4d1c72294d58f52683
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+11bd94bd147a20f28f5227ad7f581630
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+2361cca44c9d0d407396483ba841963f
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+2b093ab3bfa6a4f54a320f35e9c2c36b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+2cfb1e5102e25fdf0e7108a591722742
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+34dd570fe54b34b2d9072db4b4e7516b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+357510c864023fc3c6a66befa627639e
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+372a640e645975efd12455b525cb7bca
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+399be0fec6995c4b1ab0d864e4c8289b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+3ce4a420956de05cdcd0a9a2665547a9
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+3f71ddadb430748e08172cb66f4acdab
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+439869ee43855e10385f6b50a332da5f
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+54aa07d947698bb37f2589687fbdd9b5
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+5d6ee8306381ee30ae96efa705d5b89b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+605e4eff2aeba22e0cfab6d8863bb5a8
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+6e4c7175932fea6b8b2992e99fb2c95b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+72327fbf5127078477a631a8068becfe
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+7bdd6e49ff18adce5c086f80b967a129
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+8340a0490fff84c1e18c76e49138bd48
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+8bafeb1e6efa638fbdae844b5bfdc448
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+985f9a286115c223d72b0898624d04eb
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+afa5dd98f724b8fde90ba9cf3485654a
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+b39a839495f8b7db8a4990bc97dbf1f9
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+bb2711afafbcfbd5062c67746e6b7a40
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+c1ed2d56e686f5be6eec3a02b136e93a
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+d0b81ca8f0a37214ff383624c2eef76d
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+d2886abaad547c2835306a712737978f
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+d2b33aa50672645dbe2f2f779ff0f47d
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+d3de2d92357af108dc0c11a6c94443da
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+dc8dd5f75c0e2939769bd2defbdf0570
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+eb25958ae65699ae15216bb4daf53349
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+ed7f1a8e94119c41502657df873739ec
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+edb5ade90b347f29732b58e2d1971761
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+eef2d5c1e83c09dc3b6da8c861b9d56e
query-0,how to choose a good hirstyle for men,diy+wikihow-offline+ef3f40674454b6d49a71c6c1f76f06dc
