query-id,doc-id,raw-query,html_link,title,relevance
query-0,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f,how to choose a good hirstyle for men,https://www.wikihow.com/Get-Surfer-Hair-(for-Guys),How to Get Surfer Hair (for Guys),
query-0,diy+wikihow-offline+72327fbf5127078477a631a8068becfe,how to choose a good hirstyle for men,https://www.wikihow.com/Create-a-Good-Hair-Care-Routine-(for-Men),How to Create a Good Hair Care Routine (for Men),
query-0,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc,how to choose a good hirstyle for men,https://www.wikihow.com/Grow-Long-Hair-As-a-Guy,How to Grow Long Hair As a Guy,
query-0,diy+wikihow-offline+d2886abaad547c2835306a712737978f,how to choose a good hirstyle for men,https://www.wikihow.com/Grow-an-Afro-with-African-American-Hair,How to Grow an Afro with African American Hair,
query-0,diy+wikihow-offline+f049f52600652149b499d8694f38e09d,how to choose a good hirstyle for men,https://www.wikihow.com/Choose-a-Haircut-for-Guys-with-Thinning-Hair,How to Choose a Haircut for Guys with Thinning Hair,
query-0,diy+wikihow-offline+0cce73520d9bb83cd712dab09b5465ec,how to choose a good hirstyle for men,https://www.wikihow.com/Be-a-Well-Groomed-Indian-Man,How to Be a Well Groomed Indian Man,
query-0,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52,how to choose a good hirstyle for men,https://www.wikihow.com/Do-a-Man-Bun,How to Do a Man Bun,
query-0,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c,how to choose a good hirstyle for men,https://www.wikihow.com/Style-Straight-Male-Hair,How to Style Straight Male Hair,
query-0,diy+wikihow-offline+2b093ab3bfa6a4f54a320f35e9c2c36b,how to choose a good hirstyle for men,https://www.wikihow.com/Do-a-Blowout-Hairstyle,How to Do a Blowout Hairstyle,
query-0,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b,how to choose a good hirstyle for men,https://www.wikihow.com/Comb-Your-Hair-(Men),How to Comb Your Hair (Men),
query-1,diy+wikihow-offline+090da0649110e7249d12fab1fac2bf44,how to learn a new language,https://www.wikihow.com/Become-Skilled-at-Learning-Programming-Languages,How to Become Skilled at Learning Programming Languages,
query-1,diy+wikihow-offline+2efce44fee96ab0de249783cebbfb9e2,how to learn a new language,https://www.wikihow.com/Become-a-Polyglot,How to Become a Polyglot,
query-1,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43,how to learn a new language,https://www.wikihow.com/Teach-Yourself-a-New-Language,How to Teach Yourself a New Language,
query-1,diy+wikihow-offline+0b540016a91a917016706537e326dc31,how to learn a new language,https://www.wikihow.com/Learn-a-New-Language-Fast,How to Learn a New Language Fast,
query-1,diy+wikihow-offline+5be47a37215229fc1a5256385ca19692,how to learn a new language,https://www.wikihow.com/Speak-a-Language-With-the-Native-Accent,How to Speak a Language With the Native Accent,
query-1,diy+wikihow-offline+9580229d40b681bae16b58aa11eb0940,how to learn a new language,https://www.wikihow.com/Learn-Basic-Language-Vocabulary-with-Google-Translate,How to Learn Basic Language Vocabulary with Google Translate,
query-1,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7,how to learn a new language,https://www.wikihow.com/Learn-a-Language-Fluently-when-You-Live-in-a-New-Country,How to Learn a Language Fluently when You Live in a New Country,
query-1,diy+wikihow-offline+d39849e6d3402ced8d0df7464ca3c693,how to learn a new language,https://www.wikihow.com/Learn-Japanese-on-Your-Own,How to Learn Japanese on Your Own,
