query-id,raw query,taskgraph-id
query-0,how to spatchcock a turkey,cooking+recipe1m+0c118e37afefd6deb9ba92bd544a304b
query-0,how to spatchcock a turkey,cooking+recipe1m+104fe308f78ba2bd4512b9bcf15b86cc
query-0,how to spatchcock a turkey,cooking+recipe1m+10ce0716fe29e6db11f84f9710e0dec8
query-0,how to spatchcock a turkey,cooking+recipe1m+13febb82743ad0713b4bfe82c9f91453
query-0,how to spatchcock a turkey,cooking+recipe1m+197ad788ba77edd3dbdd347e519974e1
query-0,how to spatchcock a turkey,cooking+recipe1m+1cf44b9a87c3de4c1737e642d6a2a6bb
query-0,how to spatchcock a turkey,cooking+recipe1m+1d85dfb6877616b46e58860e65432b7d
query-0,how to spatchcock a turkey,cooking+recipe1m+1e205a8682a00efa1baf76536ef65ff7
query-0,how to spatchcock a turkey,cooking+recipe1m+1f8b10db4893b0e87c801a036c8f392d
query-0,how to spatchcock a turkey,cooking+recipe1m+300c26812a2e70c51ad63aa4f6f876c4
query-0,how to spatchcock a turkey,cooking+recipe1m+368ce1c4b71ae8147e0fd67bbc26684a
query-0,how to spatchcock a turkey,cooking+recipe1m+3d6783e694a2d1cc7ecc005f8aedf2b6
query-0,how to spatchcock a turkey,cooking+recipe1m+3e6e20ac5dd03913760c3563a226091c
query-0,how to spatchcock a turkey,cooking+recipe1m+4171f386c3a6574ef242e97d5ad590ab
query-0,how to spatchcock a turkey,cooking+recipe1m+423bf8c7536d2b67f5e296e822cbd19a
query-0,how to spatchcock a turkey,cooking+recipe1m+4967e8561c0762b1950299349a2bcf90
query-0,how to spatchcock a turkey,cooking+recipe1m+5422dea2ee81810db29417bcf3e1a006
query-0,how to spatchcock a turkey,cooking+recipe1m+748a7547c9145be5c42a2030ccb82c1f
query-0,how to spatchcock a turkey,cooking+recipe1m+75c278f042a8e465c18b69e649ae4f03
query-0,how to spatchcock a turkey,cooking+recipe1m+8da474536359a5bd2b049e9f610b31a1
query-0,how to spatchcock a turkey,cooking+recipe1m+910199113b221c1c289c80280bf696ee
query-0,how to spatchcock a turkey,cooking+recipe1m+994505df2dd754dc64bea1efeddd0cf4
query-0,how to spatchcock a turkey,cooking+recipe1m+9ad31bc1e9ec3ef1f305e21d22ab7063
