qid,run,docid,relevance,query_raw,doc_title,doc_url
query-0,Q0,cooking+recipe1m+06c38e07b3533c34738b86f379aafe5c,0,how to spatchcock a turkey,Turducken Moist and Flavorful Good Eats!,http://www.food.com/recipe/turducken-moist-and-flavorful-good-eats-402607
query-0,Q0,cooking+recipe1m+0c118e37afefd6deb9ba92bd544a304b,0,how to spatchcock a turkey,Spatchcocked Chicken With Walnut-Dill Pesto,http://www.food.com/recipe/spatchcocked-chicken-with-walnut-dill-pesto-254121
query-0,Q0,cooking+recipe1m+104fe308f78ba2bd4512b9bcf15b86cc,1,how to spatchcock a turkey,Braised Truffled Turkey,http://www.epicurious.com/recipes/food/views/braised-truffled-turkey-20132
query-0,Q0,cooking+recipe1m+10ce0716fe29e6db11f84f9710e0dec8,0,how to spatchcock a turkey,Sausage and Apple Dressing,http://cooking.nytimes.com/recipes/45
query-0,Q0,cooking+recipe1m+13febb82743ad0713b4bfe82c9f91453,0,how to spatchcock a turkey,Deep Fried Turkey Recipe,http://www.chowhound.com/recipes/fried-turkey-with-southern-rub-10729
query-0,Q0,cooking+recipe1m+197ad788ba77edd3dbdd347e519974e1,0,how to spatchcock a turkey,Herb-Roasted Spatchcock Chicken,http://www.foodandwine.com/recipes/herb-roasted-spatchcock-chicken
query-0,Q0,cooking+recipe1m+1cf44b9a87c3de4c1737e642d6a2a6bb,1,how to spatchcock a turkey,Turkey and Hominy Chili With Smoky Chipotle,http://cooking.nytimes.com/recipes/1013041
query-0,Q0,cooking+recipe1m+1d85dfb6877616b46e58860e65432b7d,0,how to spatchcock a turkey,Spatchcock Chicken With Paprika and Olive Oil - Bonnie Stern,http://www.food.com/recipe/spatchcock-chicken-with-paprika-and-olive-oil-bonnie-stern-374354
query-0,Q0,cooking+recipe1m+1e205a8682a00efa1baf76536ef65ff7,2,how to spatchcock a turkey,Grilled Spatchcock Turkey with Cranberry-Barbecue Sauce,http://www.kraftrecipes.com/recipes/grilled-spatchcock-turkey-cranberry-barbecue-sauce-120326.aspx
query-0,Q0,cooking+recipe1m+1f8b10db4893b0e87c801a036c8f392d,2,how to spatchcock a turkey,Black Pepper-Pomegranate Molasses Glazed Turkey,http://www.foodnetwork.com/recipes/bobby-flay/black-pepper-pomegranate-molasses-glazed-turkey.html
query-0,Q0,cooking+recipe1m+2324a5987a38116b69182456d9501417,0,how to spatchcock a turkey,Basic Pan Gravy Recipe,http://cookeatshare.com/recipes/basic-pan-gravy-79629
query-0,Q0,cooking+recipe1m+242b73a56b90e942b61d19ff2200e02d,1,how to spatchcock a turkey,Roast Turkey,http://www.food.com/recipe/roast-turkey-77861
query-0,Q0,cooking+recipe1m+271ecccdccf0d98100e9ffba8d46e5ef,2,how to spatchcock a turkey,How to cook a turkey,http://www.lovefood.com/guide/recipes/10724/how-to-cook-a-turkey
query-0,Q0,cooking+recipe1m+2ec94e5fd05bfe4da8a234015826217a,1,how to spatchcock a turkey,Spaghetti Sauce with Turkey Meatballs,https://recipeland.com/recipe/v/spaghetti-sauce-turkey-meatball-44157
query-0,Q0,cooking+recipe1m+300c26812a2e70c51ad63aa4f6f876c4,0,how to spatchcock a turkey,Middle Eastern Turkey Dogs,http://www.food.com/recipe/middle-eastern-turkey-dogs-228693
query-0,Q0,cooking+recipe1m+35a1b3aeed8be6d2a08874c0425825f0,2,how to spatchcock a turkey,Simple Roast Turkey with Rich Turkey Gravy,http://www.epicurious.com/recipes/food/views/simple-roast-turkey-with-rich-turkey-gravy-236409
query-0,Q0,cooking+recipe1m+368ce1c4b71ae8147e0fd67bbc26684a,1,how to spatchcock a turkey,Simple roast turkey,https://cookpad.com/us/recipes/355251-simple-roast-turkey
query-0,Q0,cooking+recipe1m+3d6783e694a2d1cc7ecc005f8aedf2b6,2,how to spatchcock a turkey,Herb-Roasted Turkey with Gravy,http://www.foodandwine.com/recipes/herb-roasted-turkey-gravy
query-0,Q0,cooking+recipe1m+3e6e20ac5dd03913760c3563a226091c,0,how to spatchcock a turkey,Turkish Grilled Chicken,http://www.food.com/recipe/turkish-grilled-chicken-445728
