query-id,raw query,taskgraph-id
query-0,how to spatchcock a turkey,cooking+recipe1m+2324a5987a38116b69182456d9501417
query-0,how to spatchcock a turkey,cooking+recipe1m+271ecccdccf0d98100e9ffba8d46e5ef
query-0,how to spatchcock a turkey,cooking+recipe1m+35a1b3aeed8be6d2a08874c0425825f0
query-0,how to spatchcock a turkey,cooking+recipe1m+551191c294f40cf728e8489dd04f7095
query-0,how to spatchcock a turkey,cooking+recipe1m+748a7547c9145be5c42a2030ccb82c1f
query-0,how to spatchcock a turkey,cooking+recipe1m+994505df2dd754dc64bea1efeddd0cf4
query-0,how to spatchcock a turkey,cooking+recipe1m+9c06f2d329f108d357fdefb4a7720b69
query-0,how to spatchcock a turkey,cooking+recipe1m+a7b83b09ec537e8b7d08d8394199b67e
query-0,how to spatchcock a turkey,cooking+recipe1m+b28a06daba651ea98a5425ec2dd94ba0
query-0,how to spatchcock a turkey,cooking+recipe1m+bee515c64003170411ed7ef8f050d897
query-0,how to spatchcock a turkey,cooking+recipe1m+c5249af2fc1f2ad713b1489fe1288fea
query-0,how to spatchcock a turkey,cooking+recipe1m+e20bc2e412236adb7d74cec535e37943
query-0,how to spatchcock a turkey,cooking+recipe1m+e2f4049e0dde8f8462d4e12e83fe9349
query-0,how to spatchcock a turkey,cooking+recipe1m+ebcd0316e209f3f3bb0d12ff6c779d2c
query-0,how to spatchcock a turkey,cooking+recipe1m+f19aa3e9d56a32d1ad307638b3f92dd0
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+14166d791b821ebc1865d4db263e0a88
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+156a03aa7f0b718affe49b24613d9fdb
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+257b407916ea46cee9d85b35ebf6f851
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+3c71a8418971defd8b64c808accc8d68
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+6b1918e167218a5a2ad8cbcbc520fb60
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+6f461719e955172377cd8b7dde1f0196
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+72fdfa795cdf4a2249832c7ac4023a83
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+8f24cadaf0924cf01574284d2618f257
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+9034235fb1f472cb5b8d8fc20a528e9f
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+9ba98fc76656f45d5f19f269453a370e
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+d0df4b8878412a7e0315aedac4e1fc24
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+d67f691be2fc9a333f5ec1e425514e19
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+e9de2d528b1d30ce3ab89b1d5cd84215
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+eee0ca2995d4204e214fc735f9adc910
query-1,I want an easy to make dessert for christmas,cooking+recipe1m+fa0b59557571f60d7d121e247748b3fb
query-10,recommend some asian street foods,cooking+recipe1m+1824a277bfb6d46f551a8ddc79f5db52
query-10,recommend some asian street foods,cooking+recipe1m+29676c24b7420ec3c3d3512c6e187732
query-10,recommend some asian street foods,cooking+recipe1m+2ee226d1b7721464a21a9954d45d3946
query-10,recommend some asian street foods,cooking+recipe1m+2fd69ac17278434337d303aedc20a3c6
query-10,recommend some asian street foods,cooking+recipe1m+38831d2a10a69f229f46d271d57446d7
query-10,recommend some asian street foods,cooking+recipe1m+4da9df60326b3d94b94dc45df132d88a
query-10,recommend some asian street foods,cooking+recipe1m+50a3246af4e4654a953ca1b20f558e8b
query-10,recommend some asian street foods,cooking+recipe1m+6543238c93627dcc6c9ae2ca9a8f63b3
query-10,recommend some asian street foods,cooking+recipe1m+773e9ffb75daaae6de68214699c4d1ca
query-10,recommend some asian street foods,cooking+recipe1m+9134f8ab2ed53b50af42c09ba589f469
query-10,recommend some asian street foods,cooking+recipe1m+9335e40a73a47aae70b9aa6f711fc2cd
query-10,recommend some asian street foods,cooking+recipe1m+bae5f1b62c52aa8b3bb201586ffc2225
query-10,recommend some asian street foods,cooking+recipe1m+c133e17976f42fa52ae9fb4b934e0dbd
query-10,recommend some asian street foods,cooking+recipe1m+e6f91c26a5a3257d0a0560703c5406a5
query-10,recommend some asian street foods,cooking+recipe1m+f0f42d84d91ab26b96a05621c5901c23
query-11,dinners by batali,cooking+recipe1m+124d412b139af7a78f69395b714ac572
query-11,dinners by batali,cooking+recipe1m+2a24f6d5c8f24a3b111e0325de3e2fb7
query-11,dinners by batali,cooking+recipe1m+3e7a11b7ff762ffc78c51eef2f9e3e9c
query-11,dinners by batali,cooking+recipe1m+42a7799664989afe14068141ee183f96
query-11,dinners by batali,cooking+recipe1m+4dfdec4102b9961c0472092847aede79
query-11,dinners by batali,cooking+recipe1m+5882929e86c9027939ae182241dac247
query-11,dinners by batali,cooking+recipe1m+5d0f9eb006ca3ef6a65324772ee0a87a
query-11,dinners by batali,cooking+recipe1m+65aa995db9f719d98214a2e18ef64db0
query-11,dinners by batali,cooking+recipe1m+68eec0746c77d4ff9d84e4ae89e756e1
query-11,dinners by batali,cooking+recipe1m+702708f071feff1bff6fe2fbc28df1b4
query-11,dinners by batali,cooking+recipe1m+7200ef560b80d1f59a6c45292f6e5820
query-11,dinners by batali,cooking+recipe1m+731554c73118f6ffb0ba326a37bfa150
query-11,dinners by batali,cooking+recipe1m+99d411454305f92c2e45db560decc7a7
query-11,dinners by batali,cooking+recipe1m+fb468e60b784ad1e2e320755c2860f79
query-11,dinners by batali,cooking+recipe1m+fe82635009f68887641e2fdb0dc4b9a2
query-12,traditional japanese soup,cooking+recipe1m+1a7d65a7ddeb2b173c674b3de68ea3c8
query-12,traditional japanese soup,cooking+recipe1m+3bc792e12b0aa93bb541f6e815505b98
query-12,traditional japanese soup,cooking+recipe1m+44e2482aa25a0ff7fcee8db21b49f6af
query-12,traditional japanese soup,cooking+recipe1m+4db45bb3d1dab1b5f07500331bcb24c3
query-12,traditional japanese soup,cooking+recipe1m+67b55d6e63929b1eb60bd61293711a59
query-12,traditional japanese soup,cooking+recipe1m+8bf5dabb4589a98b40644c3880c91a8d
query-12,traditional japanese soup,cooking+recipe1m+9a4b83fb45254922f3ed8aab2f0928d4
query-12,traditional japanese soup,cooking+recipe1m+aaef13c66b31bc90a53e0f77b32e7334
query-12,traditional japanese soup,cooking+recipe1m+afc23817f885bcd6fc5351522a8b3076
query-12,traditional japanese soup,cooking+recipe1m+bebb86f92813fc63ba4154efc0a526fd
query-12,traditional japanese soup,cooking+recipe1m+c3f681864adad4328fc80537b24a48c6
query-12,traditional japanese soup,cooking+recipe1m+da096439c31c8e5c9d01a2fc735833e7
