query-id,doc-id,raw-query,html_link,title,relevance
query-0,cooking+recipe1m+c5249af2fc1f2ad713b1489fe1288fea,how to spatchcock a turkey,http://www.food.com/recipe/birds-birds-birds-139688,"Birds, Birds, Birds",1
query-0,cooking+recipe1m+9c9b0ac601e1951214288bf7be185461,how to spatchcock a turkey,http://www.food.com/recipe/spicy-roast-spatchcocks-341031,Spicy Roast Spatchcocks,0
query-0,cooking+recipe1m+aa169d78089d89274ec8510bb5a62f3d,how to spatchcock a turkey,http://www.food.com/recipe/braised-spatchcocks-with-spinach-336566,Braised Spatchcocks With Spinach,0
query-0,cooking+recipe1m+4967e8561c0762b1950299349a2bcf90,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocks-with-a-herb-butter-and-sage-and-bacon-sauce-271632,Spatchcocks With a Herb Butter and Sage and Bacon Sauce,0
query-0,cooking+recipe1m+e2f4049e0dde8f8462d4e12e83fe9349,how to spatchcock a turkey,http://www.food.com/recipe/spatchcocked-turkey-aka-butterflied-469154,Spatchcocked Turkey (Aka Butterflied),2
query-1,cooking+recipe1m+be981e65b667b065697b4fa14570f50a,I want an easy dessert for christmas,https://cookpad.com/us/recipes/343634-vickys-easy-pickled-peaches-gluten-dairy-egg-soy-free,"Vickys Easy Pickled Peaches, Gluten, Dairy, Egg & Soy-Free",2
query-1,cooking+recipe1m+b30f16322bb969bd7c6f55ff5f66ae63,I want an easy dessert for christmas,http://www.food.com/recipe/christmas-strawberries-344254,Christmas Strawberries,2
query-1,cooking+recipe1m+9c999aed9cfe47d06f2bfe44748e9e74,I want an easy dessert for christmas,http://cookeatshare.com/recipes/peppermint-stick-dessert-10256,Peppermint Stick Dessert Recipe,1
query-1,cooking+recipe1m+fa0b59557571f60d7d121e247748b3fb,I want an easy dessert for christmas,http://www.food.com/recipe/christmas-dessert-148718,Christmas Dessert,1
query-1,cooking+recipe1m+3199fa3356fd2be6bae22fcc086df661,I want an easy dessert for christmas,http://www.food.com/recipe/kalter-hund-german-chocolate-dessert-christmas-version-454674,Kalter Hund (German Chocolate Dessert) - Christmas Version,1
query-2,cooking+recipe1m+b0b2ec9c04cdbadcf8f86410d2b34b35,Any recommendations for a gluten free appetizer,http://www.food.com/recipe/potted-salmon-gluten-free-appetizer-435796,Potted Salmon (Gluten-Free) Appetizer.,2
query-2,cooking+recipe1m+f80f2fdcd5d3a661f310b9ef1b35bc69,Any recommendations for a gluten free appetizer,http://www.chowhound.com/recipes/duck-burger-gluten-free-dairy-free-26959,Duck Burger - Gluten Free and Dairy Free Recipe thewholegang,0
query-2,cooking+recipe1m+00ece6a7645f66256d9ff4fba2123f53,Any recommendations for a gluten free appetizer,https://cookpad.com/us/recipes/336553-vickys-mulligatawny-vegetable-soup-gluten-dairy-egg-soy-free,"Vickys Mulligatawny Vegetable Soup, Gluten, Dairy, Egg & Soy-Free",1
