query-id,raw query,taskgraph-id
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+04d16e4119b88b03cac6298d4b3c5c06
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+06bc5bb1070358eaf6b1ac3f575c2d3a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+0cce73520d9bb83cd712dab09b5465ec
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+0fe9aa5606b86c4d1c72294d58f52683
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+11bd94bd147a20f28f5227ad7f581630
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+11f8d5ff3c437d350b255633ffda6a3c
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+2361cca44c9d0d407396483ba841963f
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+24bd15fa26d81801b7378a2f35b6c790
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+25d3638b506be582730f1c4631fd942d
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+2b093ab3bfa6a4f54a320f35e9c2c36b
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+2cfb1e5102e25fdf0e7108a591722742
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+311cf369485b2eec4ad582f55c19a5f7
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+357510c864023fc3c6a66befa627639e
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+47edac9f51364df98978d8d0e7743271
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+605e4eff2aeba22e0cfab6d8863bb5a8
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+72327fbf5127078477a631a8068becfe
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+8bafeb1e6efa638fbdae844b5bfdc448
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+934f4575329925bc24cbe96a2cbf0ef9
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+a0c408627f0eb5e1ce88e5fd338964b7
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+a3e09415dc083337a2b218a96cba5f71
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+afa5dd98f724b8fde90ba9cf3485654a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+b39a839495f8b7db8a4990bc97dbf1f9
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+b409988044792dd2a674b394577ba4d8
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+c1ed2d56e686f5be6eec3a02b136e93a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+c256e33b5f16270221be1d31426b3d20
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+c9f0e9462e6909fcf81823aa76aa203a
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+d0b81ca8f0a37214ff383624c2eef76d
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+d2886abaad547c2835306a712737978f
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+d2b33aa50672645dbe2f2f779ff0f47d
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+d3de2d92357af108dc0c11a6c94443da
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+dc8dd5f75c0e2939769bd2defbdf0570
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+eb25958ae65699ae15216bb4daf53349
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+edb5ade90b347f29732b58e2d1971761
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+ef3f40674454b6d49a71c6c1f76f06dc
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+f049f52600652149b499d8694f38e09d
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+f04ce06b69fba3aa1fc3489875b53e4c
query-0,how to choose a good hairstyle for men,diy+wikihow-offline+fa7125d89c7c09b2706ab06bf1683ff6
query-1,how to learn a new language,diy+wikihow-offline+029dbc592078c641ca7779cf587d4665
query-1,how to learn a new language,diy+wikihow-offline+04fa4bc82e822b12acb8682f542e5060
query-1,how to learn a new language,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43
query-1,how to learn a new language,diy+wikihow-offline+090da0649110e7249d12fab1fac2bf44
query-1,how to learn a new language,diy+wikihow-offline+0b540016a91a917016706537e326dc31
query-1,how to learn a new language,diy+wikihow-offline+0bca7e2d2aba6b3d579fb258806832ad
query-1,how to learn a new language,diy+wikihow-offline+2e1e16b3c12a556c91b0a30e70d09414
query-1,how to learn a new language,diy+wikihow-offline+2efce44fee96ab0de249783cebbfb9e2
query-1,how to learn a new language,diy+wikihow-offline+31a548442b7b6b2243151d2ac628f8f0
query-1,how to learn a new language,diy+wikihow-offline+3852904e704f1ed9d0fa37790e227a35
query-1,how to learn a new language,diy+wikihow-offline+4304ff5ea9d640cc9f9b7ab360140467
query-1,how to learn a new language,diy+wikihow-offline+43675132dd20015620575452c191cb53
query-1,how to learn a new language,diy+wikihow-offline+4604690226368a3bfa5b4366e10bca4d
query-1,how to learn a new language,diy+wikihow-offline+48dbd2c56083f5623183d30accd20497
query-1,how to learn a new language,diy+wikihow-offline+5be47a37215229fc1a5256385ca19692
query-1,how to learn a new language,diy+wikihow-offline+5c806b1d16a8a2a9d73c9c7491f9165a
query-1,how to learn a new language,diy+wikihow-offline+64a271b301eb5b594e31be1e0fb72f11
query-1,how to learn a new language,diy+wikihow-offline+7d0a4d32c6d04a6b4deeeb1b5bea9ba4
query-1,how to learn a new language,diy+wikihow-offline+82ed6dadb36b3a46b8d8de15f491cf0c
query-1,how to learn a new language,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7
query-1,how to learn a new language,diy+wikihow-offline+86c14f17070f38697b86f62b418fc0dc
query-1,how to learn a new language,diy+wikihow-offline+9001563355325148cf47677a064815f9
query-1,how to learn a new language,diy+wikihow-offline+9580229d40b681bae16b58aa11eb0940
query-1,how to learn a new language,diy+wikihow-offline+a04c96e0cc7dd43fdf4c51626c72e4f1
query-1,how to learn a new language,diy+wikihow-offline+a221c1bea62a63bb47bf6c5b1044c529
query-1,how to learn a new language,diy+wikihow-offline+a6605d7b604ea9b33c290788536b07e4
query-1,how to learn a new language,diy+wikihow-offline+ad4d03d285281d4028a3459df722efa8
query-1,how to learn a new language,diy+wikihow-offline+b53ce43ddce253e4b8e0fc59ff1fdd75
query-1,how to learn a new language,diy+wikihow-offline+c02e62cad600c58b5fb21e07e1fb7092
query-1,how to learn a new language,diy+wikihow-offline+d39849e6d3402ced8d0df7464ca3c693
query-1,how to learn a new language,diy+wikihow-offline+d61ce2a9d7d1385d31503b5fbabbae9d
query-1,how to learn a new language,diy+wikihow-offline+dc679c911c37823811c60cbca215528c
