query_id,TCT-ColBERTv2+t5,ance+t5,bm25+rm3+t5,bm25+t5,marqo+t5,query
query-0,0.4812273418164447,0.4812273418164447,0.5710093303595064,0.5222554996870062,0.48700126364614876,how to choose a good hairstyle for men
query-1,0.6532005909687854,0.6249758812507856,0.7120420061696039,0.7120420061696039,0.622944925672139,how to learn a new language
query-10,0.7232139790405122,0.7897399841083766,0.8221113941553767,0.7357494460585157,0.924301329451995,how to style curly hair
query-11,0.7806748576996071,0.7072691322320184,0.5396561026832684,0.47622534247834136,0.7016852266683535,how to write a biography for a book
query-12,0.4661337782037024,0.0,0.5139157006652141,0.5177691031106719,0.5362750484242835,how to grow apples
query-13,0.8848296340516772,0.9209520797611789,0.9209520797611789,0.9209520797611789,0.9209520797611789,how to grow strawberries
query-14,0.7219229505017265,0.6711918663108553,0.823413965186516,0.823413965186516,0.8390195430651322,how to grow cherry tomatoes
query-15,0.8954792535685231,0.8954792535685231,0.9728898667872165,0.9728898667872165,0.8954792535685231,how to grow blueberries
query-16,0.8628213120371193,0.8299487696977568,0.8558530650716827,0.8558530650716827,0.8628213120371193,how to plant tulips
query-17,0.8463417759411584,0.7597681120137236,0.8169623402951751,0.7727977946901784,0.7530563997408914,how to wash a cutting board
query-18,0.7590500797374221,0.5316597317220558,0.5945904744312113,0.7288274447627262,0.6029679471176616,help me learn how to knit clothes
query-19,0.6329280330432335,0.6329280330432335,0.5044404633094317,0.5044404633094317,0.6590125041546522,how to wash a stainless steel pan
query-2,0.7190605023441636,0.5928741450868638,0.7731540423800914,0.7709867818922901,0.43591627298861907,how to remove food stains from a carpet
query-20,0.6908586793268018,0.6386935242126929,0.707938786357487,0.707938786357487,0.5087277780446385,cut tempered glass
query-21,0.8428015401363699,0.8339475688118676,0.7928304223861651,0.7928304223861651,0.8003924218139318,put on a bike chain
query-22,0.6905711440035777,0.6905711440035777,0.6345162232199687,0.6345162232199687,0.6832700538924688,fix a water heater
query-23,0.903248992862805,0.9179041469054526,0.7545698872859651,0.6780225577387546,0.9564621867187436,build a simple kite
query-24,0.7491269099788527,0.6371038646608699,0.8329742058234572,0.8329742058234572,0.8415372624133117,learn how to juggle three balls
query-25,0.8051044827174507,0.6769064918211911,0.5222662396625092,0.6418495606603809,0.7356072578764918,chop an onion like a pro
query-26,0.8188179467136915,0.7374504345209976,0.8991223286723888,0.8991223286723888,0.8408429601712909,how to hand whistle
query-27,0.5019338399755214,0.46541453783671627,0.4919964737592526,0.4252140323210206,0.41468345364584513,how to change a car tire
query-28,0.917781159374158,0.9530884593344954,0.9929694692856222,0.9929694692856222,0.917781159374158,fix a stuck zipper
query-29,0.7545727480383183,0.7124659541752654,0.6516370206105443,0.6986612592796884,0.8037845488588117,paint a metal fence
query-3,0.7934950459305408,0.8272438610738388,0.8209121466284958,0.8209121466284958,0.6768358648818555,how to wash a car with less water
query-30,0.3390577142474333,0.3099122219387767,0.5328857521097468,0.5328857521097468,0.437440361446569,create an outdoor fireplace
query-31,0.7359624379558346,0.7314089357101154,0.5604180516882165,0.7270408234762591,0.6373789300959254,how to remove a tree
query-32,0.8889360860300337,0.8542694186478843,0.8938868170135427,0.8970638154959308,0.8924909353525192,paint nails with patterns
query-33,0.727921050385761,0.7134829525163842,0.7642054595359056,0.7642054595359056,0.8386040756219083,make a gravel garden path
query-34,0.895863359683992,0.895863359683992,0.8474315016163887,0.8474315016163887,0.895863359683992,how to fix a blocked shower drain
query-35,0.8643145546088337,0.8643145546088337,0.9652843890316114,0.9652843890316114,1.0,how to teach a cat to do tricks
query-36,0.5996823670548147,0.5964004435781736,0.5859194253111095,0.5859194253111095,0.6329197457169787,how to build a hamster cage
query-37,0.6347423121421798,0.7131130391536122,0.767777476694906,0.767777476694906,0.7641107700683042,how to run  marathon
query-38,0.7803864358037506,0.811925048289751,0.9315076448508441,0.9315076448508441,0.12154894664238451,how to gain musle
query-39,0.6905754672872598,0.8192315749996032,0.7694055088334264,0.7269330636655239,0.782714389136252,fix a cracked phone screen
query-4,0.5158811286777915,0.28666050631842666,0.7459143243694797,0.6847229257941487,0.6533239729966291,how do I decorate an office
query-40,0.996999330656715,0.9641437888231621,0.9218142086150607,0.9218142086150607,0.996999330656715,how to plan a christmas party
query-41,0.9840994462124865,0.9840994462124865,0.9672217905671953,0.9672217905671953,0.9840994462124865,how to solve a rubik's cube
query-42,0.7867360129341038,0.7827806464475767,0.7694606378497337,0.7694606378497337,0.7867360129341038,learn a chess opening
query-43,0.7932783493711232,0.7118116898712109,0.8415057764977778,0.8415057764977778,0.7365295123013037,how to replace a window
query-44,0.4384685740392189,0.4209088765951527,0.41292330192811727,0.3607790370815594,0.4509737963519493,how to iron a suit
query-45,0.39926035085270656,0.3795351914749596,0.3000801367874966,0.384973286770147,0.30190255404928124,how to warm up before a run
query-46,0.7724609523400409,0.7724609523400409,0.8863704478685775,0.8863704478685775,0.8151337701014947,how to open a champagne bottle
query-47,0.8324736808110534,0.7440631951726501,0.8283438996051175,0.8283438996051175,0.8324736808110534,how to install a sprinkler system
query-48,0.4413703558207808,0.5549841905774386,0.32674632017016,0.32674632017016,0.6109256137612643,how to change a child's diaper
query-49,0.6985722323547843,0.6596474698053816,0.5877128891642156,0.45899644754409574,0.7945360222069623,how to make a bubble bath
query-5,0.798734895189727,0.9384248476095421,0.7953195196961949,0.8007699776501005,0.7886123283134415,help me paint an interior wall
query-50,0.9483646750930305,0.9483646750930305,0.9081845824527064,0.9081845824527064,0.9008197859347902,how to remove a permanent marker from a whiteboard
query-51,0.7257369913442487,0.7257369913442487,0.7564571123837768,0.7564571123837768,0.6216308390605689,how to replace a toilet seat
query-52,0.6467397196642138,0.584849705329595,0.5466808035559302,0.5515841407669481,0.6421932615995007,fix a leaking shower
query-53,0.6370433781052214,0.6757912384478133,0.6852773462344851,0.6494506360766202,0.3187939258847263,how to put up wallpaper
query-54,0.6951289695329788,0.7520183285227803,0.8102499218628084,0.8448050406972161,0.808988403492556,hang a shelf
